dates,,exp_pc1,exp_pc2,tp_dir_pc1
4/04/2001,2001m4,1.864229084,-0.217078199,-0.994420689
2/05/2001,2001m5,-0.77715907,0.559609645,-1.39667151
6/06/2001,2001m6,-0.542526778,-1.095063395,-0.822246147
4/07/2001,2001m7,-0.078570689,0.683959814,0.473998036
8/08/2001,2001m8,-0.163743301,-0.165367063,0.099177355
5/09/2001,2001m9,0.880269035,-1.060923776,1.583724947
3/10/2001,2001m10,-1.244936229,-0.935961385,-1.101441253
7/11/2001,2001m11,0.161006595,-0.81282146,-0.115790669
4/09/2002,2002m9,-0.134397514,0.205159883,-0.314387424
2/10/2002,2002m10,0.022109703,0.048750781,0.891674666
6/11/2002,2002m11,0.048917587,-0.657217867,-0.701116475
4/12/2002,2002m12,-0.081271034,0.067053583,-0.651499835
5/02/2003,2003m2,0.232020916,-1.384877727,-1.120610156
5/03/2003,2003m3,-0.397257326,-0.417737317,-1.713007003
2/04/2003,2003m4,-0.341319375,0.066185746,1.452139949
7/05/2003,2003m5,-0.028431639,-1.160616944,-0.521227978
4/06/2003,2003m6,0.100345108,-0.86215541,-0.695830305
2/07/2003,2003m7,-1.134693708,-1.041237335,2.357339431
6/08/2003,2003m8,-0.120880344,-1.372908968,0.005994833
3/09/2003,2003m9,-0.102636698,0.056138731,-0.873829035
8/10/2003,2003m10,0.107123442,-0.328550584,-0.237811615
5/11/2003,2003m11,-2.675258397,0.576803752,0.748465817
3/12/2003,2003m12,-0.650124914,-0.523500882,-0.421898643
4/02/2004,2004m2,0.438429736,0.708648307,-0.771882606
3/03/2004,2004m3,0.512495066,-0.527788294,1.784121225
7/04/2004,2004m4,0.064577767,0.225831181,-0.075171074
5/05/2004,2004m5,0.749236202,-0.872505869,-0.287235169
2/06/2004,2004m6,-0.042508441,0.168090088,-0.187395963
7/07/2004,2004m7,-0.198888474,0.900917573,-0.022816648
4/08/2004,2004m8,0.426576881,-0.611421953,-0.896426053
8/09/2004,2004m9,0.056344029,-0.306569443,-0.354290329
6/10/2004,2004m10,0.113251278,-0.531078337,0.689350534
3/11/2004,2004m11,0.090253779,-0.454400259,-0.512780983
8/12/2004,2004m12,0.013360784,-0.039388534,0.401555654
2/02/2005,2005m2,0.342935193,-0.441892481,-0.924356044
2/03/2005,2005m3,-0.481530339,1.065447096,0.767125404
6/04/2005,2005m4,1.530426344,0.213513786,-0.696919837
4/05/2005,2005m5,-0.021543845,0.132812566,0.368547558
8/06/2005,2005m6,0.001515678,-0.315800107,-0.008612772
6/07/2005,2005m7,-0.114848795,0.514216131,-1.071016493
3/08/2005,2005m8,0.070179241,-0.396799456,0.180104718
7/09/2005,2005m9,-0.036402158,0.077810717,0.616881734
5/10/2005,2005m10,0.094973186,-0.8182755,-0.853056826
2/11/2005,2005m11,-0.118669168,0.268541437,-0.346933715
7/12/2005,2005m12,0.197212958,-0.688974917,-0.497151397
8/02/2006,2006m2,-0.028320148,0.093520768,-0.327774088
