date,,exp_pc1,exp_pc2,tp_dir_pc1
30/09/2002,2002m9,-0.134175784,0.72955224,0.019679788
31/10/2002,2002m10,0.037150696,0.093194327,1.210569222
30/11/2002,2002m11,0.181331707,-0.556715034,-0.545891574
31/12/2002,2002m12,-0.149302114,0.857911183,-0.455630782
28/02/2003,2003m2,0.182557237,-1.457830906,-0.841405552
31/03/2003,2003m3,-0.103905953,-0.831882698,-1.494995247
30/04/2003,2003m4,0.373472257,0.00940149,1.272716035
31/05/2003,2003m5,0.253304088,-1.069193059,-0.771909367
30/06/2003,2003m6,0.262461172,-0.754387411,-0.603331599
31/07/2003,2003m7,-0.579437025,-1.093154435,2.331940135
31/08/2003,2003m8,-0.047633227,-0.999846673,0.098197972
30/09/2003,2003m9,-0.202135182,0.479626926,-0.89739872
31/10/2003,2003m10,-0.330168971,0.273587087,0.272472506
30/11/2003,2003m11,-2.676764651,0.723802263,1.020264329
31/12/2003,2003m12,-0.521909518,-0.94112808,-0.405540862
29/02/2004,2004m2,0.52361423,0.582561521,-0.449153429
31/03/2004,2004m3,0.63546028,-0.207808349,2.277031875
30/04/2004,2004m4,0.285639038,0.678412929,0.133378139
31/05/2004,2004m5,0.724610276,0.064522206,0.009933171
30/06/2004,2004m6,-0.297072615,1.01837688,-0.100900217
31/07/2004,2004m7,-0.257273865,2.084579826,0.160178928
31/08/2004,2004m8,-0.011451817,-0.029935852,-0.555760265
30/09/2004,2004m9,-0.075489451,-0.093578696,0.095368188
31/10/2004,2004m10,0.232821598,-0.59302923,1.09677928
30/11/2004,2004m11,-0.012526701,-0.449823223,0.048651042
31/12/2004,2004m12,-0.11739447,0.437890731,0.93746649
28/02/2005,2005m2,0.600851835,0.095734315,-0.616146059
31/03/2005,2005m3,-0.436761412,1.143800012,0.981671016
30/04/2005,2005m4,1.842930541,0.003141765,-0.446662668
31/05/2005,2005m5,-0.150519315,-0.791503757,0.404071436
30/06/2005,2005m6,-0.116529066,-0.915489214,0.207332856
